LC.05.04,BIRZEEN-2,LC.05
LC.05.05,BIRZEEN-3,LC.05
LC.05.06,ERJIEK,LC.05
LC.05.07,GISTINI,LC.05
LC.05.08,GOHIEK,LC.05
LC.05.09,GOHIEK - 2,LC.05
LC.05.10,GUFTI,LC.05
LC.05.11,GULUGH,LC.05
LC.05.12,JITUR SANIQ,LC.05
LC.05.13,KHOGHIEK,LC.05
LC.05.14,KOCH,LC.05
LC.05.15,LOHUK,LC.05
LC.05.16,NOGH PEDI,LC.05
LC.05.17,OGHUTI,LC.05
LC.05.18,OSHIEKH Musheen,LC.05
LC.05.19,PARABEG Central,LC.05
LC.05.20,ROEE-1,LC.05
LC.05.21,ROEE-2,LC.05
LC.05.22,ROEE-3,LC.05
LC.05.23,SPORTH,LC.05
LC.05.24,WAHAT,LC.05
LC.05.99,MUSHAIN-2 Biar Deh,LC.05
LC.06.01,AWI,LC.06
LC.06.02,GHORO GOOL,LC.06
LC.06.03,HASANABAD,LC.06
LC.06.04,HERENI,LC.06
LC.06.05,ISHPADER,LC.06
LC.06.06,KIRCHUM,LC.06
LC.06.07,KUCH GAH Shuljah,LC.06
LC.06.08,MOMI-1 Paien,LC.06
LC.06.09,MOMI-2 Bala,LC.06
LC.06.10,MOMI-3 Khamjenandeh,LC.06
LC.06.11,MOMOON,LC.06
LC.06.12,PECHUCH,LC.06
LC.06.13,RUJI,LC.06
LC.06.14,RUNI,LC.06
LC.06.15,SHERSHAL,LC.06
LC.06.16,SHOGHORE Central,LC.06
LC.06.17,SHOGHORE GHARI,LC.06
LC.06.18,SIWAHT -3,LC.06
LC.06.19,SIWAHTH-2,LC.06
LC.06.20,SIWATH-1,LC.06
LC.06.21,SUNICH,LC.06
LC.06.22,UCHETUR,LC.06
LC.06.23,OLACE,LC.06
LC.06.24,THEYOL,LC.06
LC.07.01,AJARANDEH,LC.07
LC.07.02,BISH NOGHOR,LC.07
LC.07.03,BRESHGRAM Sub Centre,LC.07
LC.07.04,DALMEER,LC.07
LC.07.05,DARDAI,LC.07
LC.07.06,DARDAI KULUM,LC.07
LC.07.07,DOOK DUR,LC.07
LC.07.08,DRONIL,LC.07
LC.07.09,GALEH,LC.07
LC.07.10,GREE Sub-Centre,LC.07
LC.07.11,HINJIL-1,LC.07
LC.07.12,HINJIL-2,LC.07
LC.07.13,HINJIL-3,LC.07
LC.07.14,KARIMABAD Susum Central,LC.07
LC.07.15,KIYAR,LC.07
LC.07.16,KULUM BRESHGRAM,LC.07
LC.07.17,LORIGRAM,LC.07
LC.07.18,MADASHIL-1,LC.07
LC.07.19,MADASHIL-2,LC.07
LC.07.20,ORGHUCH,LC.07
LC.07.21,ORLAGH,LC.07
LC.07.22,PASTURAGH,LC.07
LC.07.23,PITRAGRAM-1,LC.07
LC.07.24,PITRAGRAM-2,LC.07
LC.07.25,SHAH,LC.07
LC.07.26,SHAHNURUN,LC.07
LC.07.27,SHUTH-1,LC.07
LC.07.28,SHUTH-2,LC.07
LC.07.29,SHUTH-3,LC.07
LC.07.30,SUSUM LASHT,LC.07
LC.07.31,TASHQAR-1,LC.07
LC.07.32,TASHQAR-2,LC.07
LC.07.33,THOK JAL,LC.07
SO.01.01,"AMYNABAD, Karachi",SO.01
SO.01.02,DARKHANA,SO.01
SO.01.03,GULZAR-E-RAHIM,SO.01
SO.01.04,KARIM NAGAR,SO.01
SO.01.06,PLATINUM,SO.01
SO.01.07,Prince Aly S. Khan Colony,SO.01
SO.01.08,REHMANI GARDEN,SO.01
SO.01.09,SULTANABAD,SO.01
SO.02.01,AL AZHAR GARDEN,SO.02
SO.02.02,ALI JIWANI,SO.02
SO.02.03,EVERSHINE,SO.02
SO.02.04,GULSHAN-E-NOOR,SO.02
SO.02.05,INARA GARDEN,SO.02
SO.02.06,"NOORABAD, Karachi",SO.02
SO.02.07,MALIR,SO.02
SO.02.08,MOHAMEDI GIRLS ACADEMY,SO.02
SO.02.09,PRINCE ALY BOYS ACADEMY,SO.02
SO.03.01,ALYABAD,SO.03
SO.03.02,"AMYNABAD, Hyderabad",SO.03
SO.03.03,JHUDO,SO.03
SO.03.04,KHYBER,SO.03
SO.03.05,MUBARAK COLONY,SO.03
SO.03.06,PRINCE ALY ROAD,SO.03
SO.03.07,"RAHIMABAD, Tando Allahyar",SO.03
SO.03.08,SHAH ALY,SO.03
SO.03.09,SUKKUR,SO.03
SO.03.10,SULTANABAD NO.1,SO.03
SO.03.11,SULTANABAD NO.2,SO.03
SO.03.12,SULTANABAD NO.3,SO.03
SO.04.01,AL NOOR,SO.04
SO.04.02,ALYABAD,SO.04
SO.04.03,"KARIMABAD, Karachi",SO.04
SO.04.04,NAZIMABAD,SO.04
SO.04.05,NIZARI,SO.04
SO.04.06,RAHIMABAD,SO.04
SO.04.07,SALIMAHABAD,SO.04
SO.05.01,CHASHMA GOTH,SO.05
SO.05.02,CLIFTON,SO.05
SO.05.03,EBRAHIM HAIDERY No. 1,SO.05
SO.05.04,GWADUR,SO.05
SO.05.05,KHADIJAHABAD,SO.05
SO.05.06,KHARADAR,SO.05
SO.05.07,KORANGI,SO.05
SO.05.08,LAASI,SO.05
SO.05.09,ORMARA,SO.05
SO.05.10,PASNI,SO.05
SO.05.11,QUETTA,SO.05
SO.05.12,RANCHORELINE,SO.05
SO.05.99,Winder,SO.05
SO.06.01,BADIN,SO.06
SO.06.02,NAUABAD,SO.06
SO.06.03,SHAH KAPOOR,SO.06
SO.06.04,SONDA,SO.06
SO.06.05,TALHAR,SO.06
SO.06.06,TANDO BAGO,SO.06
SO.06.07,TANDO MOHAMED KHAN,SO.06
SO.07.01,ALYABAD,SO.07
SO.07.02,BACHAL GOTH,SO.07
SO.07.03,BOHARA,SO.07
SO.07.04,CHACH SARKO Kako Village,SO.07
SO.07.06,GHULAMULLAH,SO.07
SO.07.07,HUSSAINABAD,SO.07
SO.07.08,JATI,SO.07
SO.07.09,KARIMABAD,SO.07
SO.07.10,MIRPUR SAKRO,SO.07
SO.07.11,MUHAMMADABAD,SO.07
SO.07.12,NAU GOTH,SO.07
SO.07.13,RAHIMABAD,SO.07
SO.07.14,RAJABALI GOTH,SO.07
SO.07.15,SUJAWAL,SO.07
SO.07.16,TARR KHUWAJA,SO.07
SO.07.17,VUR,SO.07
SO.07.18,WALI GOTH,SO.07
SO.07.19,JUNGSHAHI,SO.07
UC.01.01,ALYABAD Bang-3,UC.01
UC.01.02,BANG-1 Darmiyan SubCentre,UC.01
UC.01.03,BANG-2 Paien,UC.01
UC.01.04,BIRZOZE-1,UC.01
UC.01.05,CHATU DOOK,UC.01
UC.01.06,DEWSEER,UC.01
UC.01.07,DEWSEER - 2 Paien,UC.01
UC.01.08,EMIT,UC.01
UC.01.09,GAZEEN-1,UC.01
UC.01.10,GAZEEN-2,UC.01
UC.01.11,HUSSAINABAD - 2,UC.01
UC.01.12,HUSSAINABAD Birzoze-2,UC.01
UC.01.13,HYDERABAD,UC.01
UC.01.14,LAGHALABAD,UC.01
UC.01.15,LASHDAN,UC.01
UC.01.16,MERAGRAM-1 Paien,UC.01
UC.01.17,MERAGRAM-2 Bala,UC.01
UC.01.18,MOMEENABAD Bang,UC.01
UC.01.19,MOULAABAD,UC.01
UC.01.20,MUHAMMADABAD,UC.01
UC.01.21,PARDAN,UC.01
UC.01.22,PASHK,UC.01
UC.01.23,PATRANGAZ,UC.01
UC.01.24,PAWER-1 Uchu Hoon,UC.01
UC.01.25,PAWER-2,UC.01
UC.01.26,SHICH,UC.01
UC.01.27,SHOL KUCH,UC.01
UC.01.28,URKAN,UC.01
UC.01.29,WASUM Bala Sub Centre,UC.01
UC.01.30,WASUM-2 Paien,UC.01
UC.01.31,ZUPU,UC.01
UC.01.32,DONICH,UC.01
UC.02.01,ALYABAD PARWAK,UC.02
UC.02.02,AWI BAND-1,UC.02
UC.02.03,AWI BAND-2,UC.02
UC.02.04,AWI LASHT Sub Centre,UC.02
UC.02.05,AWI LURANDEH,UC.02
UC.02.06,AWI MANDAGH,UC.02
UC.02.07,AWI SINGANDEH,UC.02
UC.02.08,BAZANDEH,UC.02
UC.02.09,BOLAN LASHT Mulgram,UC.02
UC.02.10,BOONI Centre,UC.02
UC.02.11,BOZIR,UC.02
UC.02.12,BUTAKHAN DEH,UC.02
UC.02.13,CHARUN OVEER,UC.02
UC.02.14,CHARUN Sub Centre,UC.02
UC.02.15,DARIYANO,UC.02
UC.02.16,DUKANDEH,UC.02
UC.02.17,DUMADUMI,UC.02
UC.02.18,GOOL GUCH,UC.02
UC.02.19,GREEN LASHT,UC.02
UC.02.20,HUSSAINABAD Junali Koch,UC.02
UC.02.21,ISHPARDER Krui Junali,UC.02
UC.02.22,JUNALI KUCH-1 Paien,UC.02
UC.02.23,JUNALI KUCH-2 Bala,UC.02
UC.02.24,JUNALI KUCH-3 Paien,UC.02
UC.02.25,KHORA GOOL,UC.02
UC.02.26,KRUI GOLOGH AWI,UC.02
UC.02.27,KRUI JUNALI HOON,UC.02
UC.02.28,KRUICHAT PARWAK Sub Centre,UC.02
UC.02.29,KURAGH,UC.02
UC.02.30,LASHT BOONI,UC.02
UC.02.31,LUQANDEH Lutdur,UC.02
UC.02.32,MERAGRAM-1,UC.02
UC.02.33,MERAGRAM-2 Gool,UC.02
UC.02.34,MUGHLANDEH,UC.02
UC.02.35,NISUR GOOL Bala,UC.02
UC.02.36,NIYATABAD sakolasht,UC.02
UC.02.37,PANAN DEH,UC.02
UC.02.38,PARSANIK,UC.02
UC.02.39,PARWAK-1 Paien,UC.02
UC.02.40,PARWAK-2 Paien,UC.02
UC.02.41,QASIMANDEH,UC.02
UC.02.42,QUDRATABAD Nisur Gool,UC.02
UC.02.43,RAHIMABAD PARWAK Bala,UC.02
UC.02.44,RAISANDEH Hisandeh,UC.02
UC.02.45,RESHUN RAGHEEN Sub Centre,UC.02
UC.02.46,SHAGUNAN DEH,UC.02
UC.02.47,SHAKARANDEH,UC.02
UC.02.48,SONOGHOR GOOL,UC.02
UC.02.49,SONOGHOR MULGRAM,UC.02
UC.02.50,SONOGHORE Sub Centre,UC.02
UC.02.51,SULTANABAD Morigar,UC.02
UC.02.52,SYEDABAD PARWAK Bala,UC.02
UC.02.53,TEK-LASHT,UC.02
UC.02.54,ZAIET,UC.02
UC.02.55,Rashun Shader,UC.02
UC.02.56,AWI GUCHDUR,UC.02
UC.02.58,"Booni Girls Hostel, Chitral",UC.02
UC.03.01,ALYABAD Brep,UC.03
UC.03.02,DEH BREP,UC.03
UC.03.03,DIWAN GOOL,UC.03
UC.03.04,DIZG,UC.03
UC.03.05,DOOK Brep,UC.03
UC.03.06,ISTACH,UC.03
UC.03.07,JAMLASHT-1,UC.03
UC.03.08,JAMLASHT-2 Zandrandeh,UC.03
UC.03.09,KARIMABAD Hoon-Bap,UC.03
UC.03.10,KHURUZG,UC.03
UC.03.11,MAHTING Paien,UC.03
UC.03.12,MAHTING-1 Bala,UC.03
UC.03.13,MUSTAFAABAD,UC.03
UC.03.14,NURABAD,UC.03
UC.03.15,PONGODUR DIZG,UC.03
UC.03.16,RAHIMABAD Brep Central,UC.03
UC.03.17,RAHMANABAD,UC.03
UC.03.18,RATHENI,UC.03
UC.03.19,RUSTAMANDEH Kuch,UC.03
UC.03.20,SULTANABAD (KHOTAN LASHT),UC.03
UC.03.22,JAMLASHT-3,UC.03
UC.04.01,ANDERGHECH,UC.04
UC.04.02,CHAT GAZ Sub Centre,UC.04
UC.04.03,DERGHERANDUR,UC.04
UC.04.04,DUKAN,UC.04
UC.04.05,FARDAGH,UC.04
UC.04.06,GOAL KHOT,UC.04
UC.04.07,HOON KHOT,UC.04
UC.04.08,JUMBAI SHAL,UC.04
UC.04.09,KISHEK,UC.04
UC.04.10,LASHTDUR-1 Sub Centre,UC.04
UC.04.11,LASHTDUR-2,UC.04
UC.04.12,LOOGAR,UC.04
UC.04.13,LUNGAR,UC.04
UC.04.14,MARANDEH,UC.04
UC.04.15,NICHAGH-1,UC.04
UC.04.16,NICHAGH-2,UC.04
UC.04.17,NOGHORAN TEK,UC.04
UC.04.18,PUCHUNG-1,UC.04
UC.04.19,PUCHUNG-2,UC.04
UC.04.20,PURKHOT-1,UC.04
UC.04.21,PURKHOT-2,UC.04
UC.04.22,RABAT-2,UC.04
UC.04.23,SHARASTOON,UC.04
UC.04.25,YAKHDIZ-1,UC.04
UC.04.26,YAKHDIZ-2,UC.04
UC.04.27,YAKHDIZ-3,UC.04
UC.04.28,YAKHDIZ-4,UC.04
UC.05.01,BALIM-1,UC.05
UC.05.02,BALIM-2,UC.05
UC.05.03,BALIM-3 Dook,UC.05
UC.05.04,BALIM-4 Tordeh,UC.05
UC.05.05,BROOK-1,UC.05
UC.05.06,BROOK-2,UC.05
UC.05.07,DOWKHAN Balim-5,UC.05
UC.05.08,GADAR SULASPUR,UC.05
UC.05.09,GASHT-1,UC.05
UC.05.10,GASHT-2,UC.05
UC.05.11,GUCHGALL,UC.05
UC.05.12,HERCHIN Central,UC.05
UC.05.13,HUJUNE,UC.05
UC.05.14,HUSSAINABAD Balim-8 Laiden,UC.05
UC.05.15,IMAMABAD BALIM-6,UC.05
UC.05.16,JUBILEEABAD Balim - 7,UC.05
UC.05.17,LASHT-1 Herchin,UC.05
UC.05.18,LASHT-2 Herchin,UC.05
UC.05.19,MAYOON LASHT,UC.05
UC.05.20,NOORABAD Ownshot,UC.05
UC.05.21,OWNSHOT,UC.05
UC.05.22,PARGRAM-1,UC.05
UC.05.23,PARGRAM-2,UC.05
UC.05.24,PORTH-1,UC.05
UC.05.25,PORTH-2,UC.05
UC.05.26,RAMAN-1 Guchdur,UC.05
UC.05.27,RAMAN-2 Kochdur,UC.05
UC.05.28,RAMAN-3 Doshandeh,UC.05
UC.05.29,RAMAN-4 Shaghnandeh,UC.05
UC.05.30,REJUNE,UC.05
UC.05.31,REJUNE - 2,UC.05
UC.05.32,SHAIDAS,UC.05
UC.05.33,SHAIDAS-2,UC.05
UC.05.34,SUR-LASPUR,UC.05
UC.05.35,SHANDUR,UC.05
UC.06.01,ALYABAD Chapali,UC.06
UC.06.02,ALYABAD Chunj-2 Bala,UC.06
UC.06.03,CHAPALI Bala,UC.06
UC.06.04,CHAPALI Guch,UC.06
UC.06.05,CHINAR Central,UC.06
UC.06.06,CHUINJ-1 Paien,UC.06
UC.06.07,DARALOT Mastuj,UC.06
UC.06.08,GHORU BALA,UC.06
UC.06.09,GHORU PAIEN,UC.06
UC.06.10,HOON Mastuj,UC.06
UC.06.11,ISTURDENI,UC.06
UC.06.12,KARGIN-1 Bala,UC.06
UC.06.13,KARGIN-2,UC.06
UC.06.14,KHUZ-1 Paien,UC.06
UC.06.15,KHUZ-2 Darmiyan,UC.06
UC.06.16,KHUZ-3 Bala,UC.06
UC.06.17,LAKAP,UC.06
UC.06.18,MUHAMMADABAD GhoruLasht,UC.06
UC.06.19,NISUR,UC.06
UC.06.20,PARKUSAB-1 Muzhdeh,UC.06
UC.06.21,PARKUSAB-2 Parimali,UC.06
UC.06.22,PASUM,UC.06
UC.06.23,RAHIMABAD Chuinj-3,UC.06
UC.06.24,SARGHOZE-1,UC.06
UC.06.25,SARGHOZE-2,UC.06
UC.06.26,TOOQ - 2 Bala,UC.06
UC.06.27,TOOQ Mastuj,UC.06
UC.07.01,ALYABAD Morder-3,UC.07
UC.07.02,AWNERDER,UC.07
UC.07.03,BAHRIANDUR,UC.07
UC.07.04,BARCHAT,UC.07
UC.07.05,BLOGH,UC.07
UC.07.06,BODO DOK Saht,UC.07
UC.07.07,BUMBAGH,UC.07
UC.07.08,DILSHAD KHUM,UC.07
UC.07.09,DONO Saht,UC.07
UC.07.10,"DOOKDUR Ghat, Bala",UC.07
UC.07.11,ISTARI Saht,UC.07
UC.07.12,KHALANI,UC.07
UC.07.13,KHOL BRUNZK Saht,UC.07
UC.07.15,LOONE-1 Sub Centre,UC.07
UC.07.16,LOONE-2 Krui Deru,UC.07
UC.07.17,LOONE-3 Auzakh,UC.07
UC.07.18,LOONE-4 Pishili,UC.07
UC.07.19,MORDER-1 Paien,UC.07
UC.07.20,MORDER-2 Godok,UC.07
UC.07.21,MULGAHT,UC.07
UC.07.22,MUZDEH Khost Sub Centre,UC.07
UC.07.23,MUZUDUR Saht,UC.07
UC.07.24,NASU DOOK Ghat,UC.07
UC.07.25,NILANDUR Saht,UC.07
UC.07.26,PANJIANTEK,UC.07
UC.07.27,PINDORU GAZ Saht,UC.07
UC.07.28,PISHALDURI,UC.07
UC.07.29,ROGHONDOK,UC.07
UC.07.30,SANDRAGH,UC.07
UC.07.31,SEER BALA,UC.07
UC.07.32,SEER Saht,UC.07
UC.07.33,SHALDUR,UC.07
UC.07.34,SHERANDUR Saht Sub Centre,UC.07
UC.07.35,SHOKORMALI,UC.07
UC.07.36,SHUNJOOR ANN,UC.07
UC.07.37,WARIJUNE Central,UC.07
UC.07.38,ZUNDRANGRAM Trech,UC.07
UC.07.39,Kushum,UC.07
UC.07.40,"KHORA GOLE, Warijune",UC.07
UC.08.01,BOLASHT,UC.08
UC.08.02,DUKAN-1 GoalKhot,UC.08
UC.08.03,DUKAN-2,UC.08
UC.08.04,ISKHAN LASHT,UC.08
UC.08.05,KISHNZOKH,UC.08
UC.08.06,MU-RECH,UC.08
UC.08.07,NIA-LASHT,UC.08
UC.08.08,NISUR RECH Sub Centre,UC.08
UC.08.09,PA-RECH,UC.08
UC.08.10,PURGRAM,UC.08
UC.08.11,RAGH,UC.08
UC.08.12,ROWA Rech,UC.08
UC.08.13,SALANDUR,UC.08
UC.08.14,SHORQ,UC.08
UC.08.15,SIKUCH,UC.08
UC.08.16,SU-RECH Sub Centre,UC.08
UC.09.01,BARKATABAD Boop,UC.09
UC.09.02,BUZUND Sub Centre,UC.09
UC.09.03,KISHWAT - 2 Washich,UC.09
UC.09.04,KISHWAT-1,UC.09
UC.09.05,LAMKUSHUM-1,UC.09
UC.09.06,LAMKUSHUM-2,UC.09
UC.09.07,MAHTING Washich SubCentre,UC.09
UC.09.08,MALANDUR,UC.09
UC.09.09,MAYAR,UC.09
UC.09.10,RABAT-1,UC.09
UC.09.11,SHAGRAM-1 Budandur,UC.09
UC.09.12,SHAGRAM-2 Uch Waht,UC.09
UC.09.13,SHAGRAM-3 (Mayar),UC.09
UC.09.14,SHALANSUR,UC.09
UC.09.15,SHOOL,UC.09
UC.09.16,SHOTKHAR Central,UC.09
UC.09.17,SHOTKHAR-2,UC.09
UC.09.18,SHUCHAN LASHT,UC.09
UC.09.19,TUR MAHTING - 2 Washich,UC.09
UC.09.20,WAZUM,UC.09
UC.09.21,SHOT MELP,UC.09
UC.09.99,DANISHABAD SHOTKHAR - 3,UC.09
UC.10.01,ALYABAD,UC.10
UC.10.02,CHIKAR BROGHIL,UC.10
UC.10.03,CHILMARABAD,UC.10
UC.10.04,CHITISAR,UC.10
UC.10.05,DUBARGAR,UC.10
UC.10.06,DURZU,UC.10
UC.10.07,FAIZABAD Inchipun,UC.10
UC.10.08,GARAMCHASHMA Sub Centre,UC.10
UC.10.09,GAREL Broghil,UC.10
UC.10.10,GHARARUM - 3 Hussainabad,UC.10
UC.10.11,GHIRARUM-1,UC.10
UC.10.12,HASSANABAD INKEP,UC.10
UC.10.13,INKEP Paien,UC.10
UC.10.14,KARIMABAD Ghirarum-2,UC.10
UC.10.15,KHAIRABAD Youkshukut,UC.10
UC.10.16,KHAN KHOON,UC.10
UC.10.17,KHAND-1 Paien,UC.10
UC.10.18,KHAND-2 Bala,UC.10
UC.10.19,KISHMANJAH,UC.10
UC.10.20,LASHKARGAZ,UC.10
UC.10.21,LOOTGAZ,UC.10
UC.10.22,MAIDAN Broghil,UC.10
UC.10.23,MOMINABAD Sholbest -2,UC.10
UC.10.24,OWNAWUCH-1 Paien,UC.10
UC.10.25,OWNAWUCH-2 Bala,UC.10
UC.10.26,PUKTH,UC.10
UC.10.27,RAHIMABAD Shovest (S/C),UC.10
UC.10.28,RUKUT,UC.10
UC.10.29,SALIMAHABAD Koi Chilmarabad,UC.10
UC.10.30,SHIKARWAZ Junali,UC.10
UC.10.31,SKIRMUT,UC.10
UC.10.32,YAKHDAN,UC.10
UC.10.33,YARKHOON LASHT Centre,UC.10
UC.10.34,YOUSHKEST,UC.10
UC.10.35,DARBAND,UC.10
GY.08.07,HELTER,GY.08
CE.05.13,GULSHAN-E-FATIMA,CE.05
CE.05.14,ALI MUHAMMAD SOCIETY,CE.05
CE.05.15,CHITRAL TOWN,CE.05
GL.03.30,DANYORE-13,GL.03
UC.02.59,BOONI GAHLI,UC.02
UC.07.41,"MESHRANDEH, Loone",UC.07
GY.05.25,UMALSAT-3,GY.05
SO.02.10,GULZAR-E-ERUM,SO.02
